Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 243 329 2 3
1 240 204 2 0
2 239 335 4 5
3 245 324 2 3
4 241 364 1 2
5 236 371 3 5
6 235 70 2 1
7 3 3 3 0
8 242 54 4 2
9 239 358 1 1
10 241 71 2 0
11 239 348 4 5
12 241 695 4 8
13 3 7 3 0
14 184 233 4 4
15 0 0 0 0
16 243 278 2 7
17 2 6 2 1
18 0 4 0 0
19 210 32 2 0
20 241 30 3 0
21 241 65 1 2
22 136 94 1 1
23 239 124 3 3
24 4 11 4 0
25 4 10 4 1
26 187 464 1 7
27 186 68 2 3
28 244 49 3 0
29 245 107 4 3
30 240 103 2 0
31 240 58 7 0
32 3 10 3 0
33 1 3 1 0
34 242 106 4 1
35 0 9 0 0
36 142 70 1 2
37 243 378 2 4
38 231 200 7 1
39 243 250 2 2
40 244 190 1 2
41 243 187 2 3
42 2 9 2 0
43 237 273 3 2
44 246 127 5 0
45 238 339 3 3
46 1 3 1 0
47 247 355 2 6
48 243 348 0 8
49 247 73 2 0
50 243 223 1 6
51 238 433 3 4
52 238 320 2 3
53 0 11 0 0
54 239 140 3 2
55 243 174 6 2
56 234 49 3 1
57 242 350 2 4
58 2 5 2 0
59 241 99 0 1
60 236 1148 2 8
61 184 114 1 1
62 243 163 3 1
63 246 200 2 5
64 240 73 1 1
65 201 114 1 1
66 3 2 3 0
67 190 278 1 2
68 191 59 1 1
69 241 112 8 2
70 204 206 1 5
71 237 184 5 1
72 231 320 3 4
73 245 206 2 5
74 202 96 2 1
75 1 9 1 1
76 243 123 0 5
77 245 168 3 0
78 232 115 1 3
79 240 227 1 3
80 1 1 1 0
81 245 155 3 1
82 239 198 4 6
83 228 957 0 12
84 244 723 2 10
85 245 159 1 1
86 142 144 2 2
87 179 200 1 4
88 245 201 2 3
89 236 278 2 4
90 240 174 2 1
91 130 81 4 0
92 5 2 5 0
93 2 3 2 0
94 137 233 1 2
95 117 104 0 0
96 245 130 3 1
97 69 47 0 1
