# time  ID  size  fromHost  toHost  TTL  isResponse
103200.0000 M86 1000000 cambridge-Host23 cambridge-Host11 n/a N 
104400.0000 M87 1000000 cambridge-Host50 cambridge-Host39 n/a N 
105600.0000 M88 1000000 cambridge-Host34 cambridge-Host33 n/a N 
106800.0000 M89 1000000 cambridge-Host43 cambridge-Host38 n/a N 
108000.0000 M90 1000000 cambridge-Host33 cambridge-Host12 n/a N 
109200.0000 M91 1000000 cambridge-Host47 cambridge-Host7 n/a N 
110400.0000 M92 1000000 cambridge-Host19 cambridge-Host44 n/a N 
111600.0000 M93 1000000 cambridge-Host4 cambridge-Host10 n/a N 
112800.0000 M94 1000000 cambridge-Host36 cambridge-Host1 n/a N 
114000.0000 M95 1000000 cambridge-Host3 cambridge-Host24 n/a N 
115200.0000 M96 1000000 cambridge-Host7 cambridge-Host13 n/a N 
116400.0000 M97 1000000 cambridge-Host20 cambridge-Host35 n/a N 
117600.0000 M98 1000000 cambridge-Host31 cambridge-Host28 n/a N 
118800.0000 M99 1000000 cambridge-Host17 cambridge-Host50 n/a N 
120000.0000 M100 1000000 cambridge-Host34 cambridge-Host49 n/a N 
121200.0000 M101 1000000 cambridge-Host40 cambridge-Host25 n/a N 
122400.0000 M102 1000000 cambridge-Host46 cambridge-Host5 n/a N 
123600.0000 M103 1000000 cambridge-Host46 cambridge-Host16 n/a N 
124800.0000 M104 1000000 cambridge-Host31 cambridge-Host41 n/a N 
126000.0000 M105 1000000 cambridge-Host13 cambridge-Host26 n/a N 
127200.0000 M106 1000000 cambridge-Host41 cambridge-Host32 n/a N 
128400.0000 M107 1000000 cambridge-Host23 cambridge-Host25 n/a N 
129600.0000 M108 1000000 cambridge-Host48 cambridge-Host26 n/a N 
130800.0000 M109 1000000 cambridge-Host49 cambridge-Host48 n/a N 
132000.0000 M110 1000000 cambridge-Host47 cambridge-Host22 n/a N 
133200.0000 M111 1000000 cambridge-Host6 cambridge-Host38 n/a N 
134400.0000 M112 1000000 cambridge-Host29 cambridge-Host31 n/a N 
135600.0000 M113 1000000 cambridge-Host36 cambridge-Host2 n/a N 
136800.0000 M114 1000000 cambridge-Host23 cambridge-Host5 n/a N 
138000.0000 M115 1000000 cambridge-Host45 cambridge-Host0 n/a N 
139200.0000 M116 1000000 cambridge-Host2 cambridge-Host23 n/a N 
140400.0000 M117 1000000 cambridge-Host28 cambridge-Host2 n/a N 
141600.0000 M118 1000000 cambridge-Host29 cambridge-Host15 n/a N 
142800.0000 M119 1000000 cambridge-Host1 cambridge-Host38 n/a N 
144000.0000 M120 1000000 cambridge-Host22 cambridge-Host4 n/a N 
145200.0000 M121 1000000 cambridge-Host29 cambridge-Host47 n/a N 
146400.0000 M122 1000000 cambridge-Host19 cambridge-Host20 n/a N 
147600.0000 M123 1000000 cambridge-Host40 cambridge-Host34 n/a N 
148800.0000 M124 1000000 cambridge-Host42 cambridge-Host12 n/a N 
150000.0000 M125 1000000 cambridge-Host2 cambridge-Host9 n/a N 
151200.0000 M126 1000000 cambridge-Host42 cambridge-Host4 n/a N 
152400.0000 M127 1000000 cambridge-Host42 cambridge-Host30 n/a N 
153600.0000 M128 1000000 cambridge-Host48 cambridge-Host10 n/a N 
154800.0000 M129 1000000 cambridge-Host30 cambridge-Host15 n/a N 
156000.0000 M130 1000000 cambridge-Host20 cambridge-Host8 n/a N 
157200.0000 M131 1000000 cambridge-Host25 cambridge-Host47 n/a N 
158400.0000 M132 1000000 cambridge-Host50 cambridge-Host22 n/a N 
159600.0000 M133 1000000 cambridge-Host5 cambridge-Host27 n/a N 
160800.0000 M134 1000000 cambridge-Host50 cambridge-Host14 n/a N 
162000.0000 M135 1000000 cambridge-Host34 cambridge-Host41 n/a N 
163200.0000 M136 1000000 cambridge-Host31 cambridge-Host15 n/a N 
164400.0000 M137 1000000 cambridge-Host23 cambridge-Host46 n/a N 
165600.0000 M138 1000000 cambridge-Host17 cambridge-Host49 n/a N 
166800.0000 M139 1000000 cambridge-Host4 cambridge-Host47 n/a N 
168000.0000 M140 1000000 cambridge-Host32 cambridge-Host44 n/a N 
169200.0000 M141 1000000 cambridge-Host28 cambridge-Host9 n/a N 
170400.0000 M142 1000000 cambridge-Host26 cambridge-Host19 n/a N 
171600.0000 M143 1000000 cambridge-Host33 cambridge-Host45 n/a N 
172800.0000 M144 1000000 cambridge-Host18 cambridge-Host3 n/a N 
174000.0000 M145 1000000 cambridge-Host38 cambridge-Host11 n/a N 
175200.0000 M146 1000000 cambridge-Host35 cambridge-Host5 n/a N 
176400.0000 M147 1000000 cambridge-Host9 cambridge-Host12 n/a N 
177600.0000 M148 1000000 cambridge-Host23 cambridge-Host16 n/a N 
178800.0000 M149 1000000 cambridge-Host28 cambridge-Host42 n/a N 
180000.0000 M150 1000000 cambridge-Host6 cambridge-Host35 n/a N 
181200.0000 M151 1000000 cambridge-Host50 cambridge-Host13 n/a N 
182400.0000 M152 1000000 cambridge-Host27 cambridge-Host7 n/a N 
183600.0000 M153 1000000 cambridge-Host19 cambridge-Host6 n/a N 
184800.0000 M154 1000000 cambridge-Host3 cambridge-Host1 n/a N 
186000.0000 M155 1000000 cambridge-Host13 cambridge-Host39 n/a N 
187200.0000 M156 1000000 cambridge-Host41 cambridge-Host37 n/a N 
188400.0000 M157 1000000 cambridge-Host32 cambridge-Host34 n/a N 
189600.0000 M158 1000000 cambridge-Host40 cambridge-Host26 n/a N 
190800.0000 M159 1000000 cambridge-Host0 cambridge-Host24 n/a N 
192000.0000 M160 1000000 cambridge-Host34 cambridge-Host15 n/a N 
193200.0000 M161 1000000 cambridge-Host26 cambridge-Host39 n/a N 
194400.0000 M162 1000000 cambridge-Host45 cambridge-Host25 n/a N 
195600.0000 M163 1000000 cambridge-Host41 cambridge-Host4 n/a N 
196800.0000 M164 1000000 cambridge-Host14 cambridge-Host36 n/a N 
198000.0000 M165 1000000 cambridge-Host37 cambridge-Host31 n/a N 
199200.0000 M166 1000000 cambridge-Host26 cambridge-Host4 n/a N 
200400.0000 M167 1000000 cambridge-Host31 cambridge-Host11 n/a N 
201600.0000 M168 1000000 cambridge-Host30 cambridge-Host46 n/a N 
202800.0000 M169 1000000 cambridge-Host5 cambridge-Host46 n/a N 
204000.0000 M170 1000000 cambridge-Host51 cambridge-Host19 n/a N 
205200.0000 M171 1000000 cambridge-Host26 cambridge-Host27 n/a N 
206400.0000 M172 1000000 cambridge-Host31 cambridge-Host25 n/a N 
207600.0000 M173 1000000 cambridge-Host25 cambridge-Host9 n/a N 
208800.0000 M174 1000000 cambridge-Host39 cambridge-Host24 n/a N 
210000.0000 M175 1000000 cambridge-Host17 cambridge-Host3 n/a N 
211200.0000 M176 1000000 cambridge-Host4 cambridge-Host5 n/a N 
212400.0000 M177 1000000 cambridge-Host32 cambridge-Host44 n/a N 
213600.0000 M178 1000000 cambridge-Host36 cambridge-Host11 n/a N 
214800.0000 M179 1000000 cambridge-Host30 cambridge-Host13 n/a N 
216000.0000 M180 1000000 cambridge-Host18 cambridge-Host42 n/a N 
217200.0000 M181 1000000 cambridge-Host0 cambridge-Host35 n/a N 
218400.0000 M182 1000000 cambridge-Host33 cambridge-Host49 n/a N 
219600.0000 M183 1000000 cambridge-Host22 cambridge-Host5 n/a N 
220800.0000 M184 1000000 cambridge-Host14 cambridge-Host31 n/a N 
222000.0000 M185 1000000 cambridge-Host17 cambridge-Host21 n/a N 
223200.0000 M186 1000000 cambridge-Host38 cambridge-Host39 n/a N 
224400.0000 M187 1000000 cambridge-Host0 cambridge-Host48 n/a N 
225600.0000 M188 1000000 cambridge-Host7 cambridge-Host6 n/a N 
226800.0000 M189 1000000 cambridge-Host29 cambridge-Host13 n/a N 
228000.0000 M190 1000000 cambridge-Host24 cambridge-Host41 n/a N 
229200.0000 M191 1000000 cambridge-Host38 cambridge-Host2 n/a N 
230400.0000 M192 1000000 cambridge-Host19 cambridge-Host44 n/a N 
231600.0000 M193 1000000 cambridge-Host23 cambridge-Host10 n/a N 
232800.0000 M194 1000000 cambridge-Host22 cambridge-Host25 n/a N 
234000.0000 M195 1000000 cambridge-Host39 cambridge-Host5 n/a N 
235200.0000 M196 1000000 cambridge-Host38 cambridge-Host30 n/a N 
236400.0000 M197 1000000 cambridge-Host38 cambridge-Host48 n/a N 
237600.0000 M198 1000000 cambridge-Host40 cambridge-Host19 n/a N 
238800.0000 M199 1000000 cambridge-Host22 cambridge-Host24 n/a N 
240000.0000 M200 1000000 cambridge-Host23 cambridge-Host16 n/a N 
241200.0000 M201 1000000 cambridge-Host2 cambridge-Host43 n/a N 
242400.0000 M202 1000000 cambridge-Host35 cambridge-Host15 n/a N 
243600.0000 M203 1000000 cambridge-Host25 cambridge-Host24 n/a N 
244800.0000 M204 1000000 cambridge-Host32 cambridge-Host2 n/a N 
246000.0000 M205 1000000 cambridge-Host39 cambridge-Host29 n/a N 
247200.0000 M206 1000000 cambridge-Host50 cambridge-Host28 n/a N 
248400.0000 M207 1000000 cambridge-Host10 cambridge-Host34 n/a N 
249600.0000 M208 1000000 cambridge-Host33 cambridge-Host47 n/a N 
250800.0000 M209 1000000 cambridge-Host28 cambridge-Host12 n/a N 
252000.0000 M210 1000000 cambridge-Host30 cambridge-Host13 n/a N 
253200.0000 M211 1000000 cambridge-Host45 cambridge-Host32 n/a N 
254400.0000 M212 1000000 cambridge-Host45 cambridge-Host11 n/a N 
255600.0000 M213 1000000 cambridge-Host5 cambridge-Host43 n/a N 
256800.0000 M214 1000000 cambridge-Host7 cambridge-Host45 n/a N 
258000.0000 M215 1000000 cambridge-Host15 cambridge-Host51 n/a N 
