HOST   TimeON  ScanEnergy
501 22418.0 12229.019
502 16849.0 9191.1295
503 10963.0 5980.3165
504 21254.0 11594.056999999999
505 20655.0 11267.3025
506 15423.0 8413.2465
507 20653.0 11266.2115
508 17290.0 9431.695
509 19674.0 10732.167
510 21777.0 11879.3535
511 23183.0 12646.3265
512 18266.0 9964.103
513 20542.0 11205.661
514 17951.0 9792.2705
515 19093.0 10415.2315
516 16197.0 8835.4635
517 17931.0 9781.360499999999
518 21348.0 11645.333999999999
519 9250.0 5045.875
520 20194.0 11015.827
521 18144.0 9897.552
522 17503.0 9547.8865
523 18930.0 10326.315
524 18982.0 10354.681
525 15241.0 8313.9655
526 15910.0 8678.905
527 17727.0 9670.0785
528 10688.0 5830.304
529 17583.0 9591.5265
530 17145.0 9352.5975
531 17563.0 9580.6165
532 18563.0 10126.1165
533 16045.0 8752.5475
534 21897.0 11944.8135
535 18990.0 10359.045
536 16198.0 8836.009
537 16504.0 9002.931999999999
538 21010.0 11460.955
539 15421.0 8412.155499999999
540 11871.0 6475.6305
541 17032.0 9290.956
542 22205.0 12112.8275
543 21932.0 11963.905999999999
544 20062.0 10943.821
545 19052.0 10392.866
546 15769.0 8601.9895
547 19758.0 10777.989
548 18093.0 9869.7315
549 22693.0 12379.0315
550 17330.0 9453.515
551 17616.0 9609.528
552 21449.0 11700.4295
553 17390.0 9486.244999999999
554 21328.0 11634.423999999999
555 18797.0 10253.7635
556 21859.0 11924.084499999999
557 19858.0 10832.538999999999
558 17350.0 9464.425
559 14913.0 8135.041499999999
560 15472.0 8439.976
561 18645.0 10170.8475
562 11527.0 6287.9785
563 20880.0 11390.039999999999
564 18939.0 10331.2245
565 18553.0 10120.6615
566 18105.0 9876.2775
567 17065.0 9308.9575
568 19256.0 10504.148
569 19909.0 10860.3595
570 21561.0 11761.5255
571 12585.0 6865.117499999999
572 17093.0 9324.2315
573 19317.0 10537.423499999999
574 17116.0 9336.778
575 18776.0 10242.307999999999
576 21593.0 11778.9815
577 15127.0 8251.7785
578 18056.0 9849.547999999999
579 20132.0 10982.006
580 20777.0 11333.8535
581 8199.0 4472.5545
582 17124.0 9341.142
583 17359.0 9469.334499999999
584 21001.0 11456.0455
585 18399.0 10036.6545
586 20298.0 11072.559
587 16756.0 9140.398
588 22397.0 12217.5635
589 20602.0 11238.391
590 30855.0 16831.4025
591 34923.0 19050.4965
592 41351.0 22556.9705
593 40452.0 22066.566
594 37452.0 20430.066
595 34687.0 18921.7585
596 38934.0 21238.497
597 40380.0 22027.29
598 18105.0 9876.2775
599 16084.0 8773.822
600 9161.0 4997.3255
601 16565.0 9036.2075
602 18962.0 10343.770999999999
603 23164.0 12635.962
604 27906.0 15222.723
605 16360.0 8924.38
606 22287.0 12157.5585
607 17850.0 9737.175
608 21724.0 11850.442
609 19492.0 10632.886
610 15249.0 8318.3295
611 19725.0 10759.9875
612 18952.0 10338.315999999999
613 21398.0 11672.609
614 19716.0 10755.078
615 25480.0 13899.34
616 21960.0 11979.18
617 19645.0 10716.3475
618 26294.0 14343.377
619 23621.0 12885.2555
620 18308.0 9987.014
621 20287.0 11066.5585
622 18328.0 9997.923999999999
623 16748.0 9136.034
624 17932.0 9781.905999999999
