# time  ID  size  fromHost  toHost  TTL  isResponse
222000.0000 M185 100000000 cambridge-Host17 cambridge-Host21 n/a N 
223200.0000 M186 100000000 cambridge-Host38 cambridge-Host39 n/a N 
224400.0000 M187 100000000 cambridge-Host0 cambridge-Host48 n/a N 
225600.0000 M188 100000000 cambridge-Host7 cambridge-Host6 n/a N 
226800.0000 M189 100000000 cambridge-Host29 cambridge-Host13 n/a N 
228000.0000 M190 100000000 cambridge-Host24 cambridge-Host41 n/a N 
229200.0000 M191 100000000 cambridge-Host38 cambridge-Host2 n/a N 
230400.0000 M192 100000000 cambridge-Host19 cambridge-Host44 n/a N 
231600.0000 M193 100000000 cambridge-Host23 cambridge-Host10 n/a N 
232800.0000 M194 100000000 cambridge-Host22 cambridge-Host25 n/a N 
234000.0000 M195 100000000 cambridge-Host39 cambridge-Host5 n/a N 
235200.0000 M196 100000000 cambridge-Host38 cambridge-Host30 n/a N 
236400.0000 M197 100000000 cambridge-Host38 cambridge-Host48 n/a N 
237600.0000 M198 100000000 cambridge-Host40 cambridge-Host19 n/a N 
238800.0000 M199 100000000 cambridge-Host22 cambridge-Host24 n/a N 
240000.0000 M200 100000000 cambridge-Host23 cambridge-Host16 n/a N 
241200.0000 M201 100000000 cambridge-Host2 cambridge-Host43 n/a N 
242400.0000 M202 100000000 cambridge-Host35 cambridge-Host15 n/a N 
243600.0000 M203 100000000 cambridge-Host25 cambridge-Host24 n/a N 
244800.0000 M204 100000000 cambridge-Host32 cambridge-Host2 n/a N 
246000.0000 M205 100000000 cambridge-Host39 cambridge-Host29 n/a N 
247200.0000 M206 100000000 cambridge-Host50 cambridge-Host28 n/a N 
248400.0000 M207 100000000 cambridge-Host10 cambridge-Host34 n/a N 
249600.0000 M208 100000000 cambridge-Host33 cambridge-Host47 n/a N 
250800.0000 M209 100000000 cambridge-Host28 cambridge-Host12 n/a N 
252000.0000 M210 100000000 cambridge-Host30 cambridge-Host13 n/a N 
253200.0000 M211 100000000 cambridge-Host45 cambridge-Host32 n/a N 
254400.0000 M212 100000000 cambridge-Host45 cambridge-Host11 n/a N 
255600.0000 M213 100000000 cambridge-Host5 cambridge-Host43 n/a N 
256800.0000 M214 100000000 cambridge-Host7 cambridge-Host45 n/a N 
258000.0000 M215 100000000 cambridge-Host15 cambridge-Host51 n/a N 
259200.0000 M216 100000000 cambridge-Host27 cambridge-Host19 n/a N 
260400.0000 M217 100000000 cambridge-Host9 cambridge-Host0 n/a N 
261600.0000 M218 100000000 cambridge-Host4 cambridge-Host49 n/a N 
262800.0000 M219 100000000 cambridge-Host39 cambridge-Host24 n/a N 
264000.0000 M220 100000000 cambridge-Host6 cambridge-Host21 n/a N 
265200.0000 M221 100000000 cambridge-Host4 cambridge-Host12 n/a N 
266400.0000 M222 100000000 cambridge-Host46 cambridge-Host14 n/a N 
267600.0000 M223 100000000 cambridge-Host17 cambridge-Host41 n/a N 
268800.0000 M224 100000000 cambridge-Host45 cambridge-Host22 n/a N 
270000.0000 M225 100000000 cambridge-Host37 cambridge-Host32 n/a N 
271200.0000 M226 100000000 cambridge-Host26 cambridge-Host49 n/a N 
272400.0000 M227 100000000 cambridge-Host18 cambridge-Host50 n/a N 
