Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 1 11 1 1
1 170 20 2 6
2 4 15 4 2
3 2 3 2 0
4 1 12 1 1
5 1 16 1 1
6 2 2 2 0
7 3 4 3 1
8 4 0 4 0
9 1 9 1 0
10 1 7 1 1
11 4 3 4 0
12 2 1 2 1
13 3 7 3 0
14 3 6 3 0
15 193 301 0 31
16 2 0 2 0
17 1 3 1 1
18 0 0 0 0
19 1 5 1 2
20 2 2 2 0
21 1 5 1 1
22 1 0 1 0
23 3 12 3 0
24 4 7 4 0
25 191 146 4 12
26 1 13 1 2
27 174 63 2 10
28 3 11 3 1
29 3 8 3 1
30 2 16 2 1
31 6 10 6 0
32 3 12 3 1
33 1 1 1 0
34 4 6 4 0
35 0 10 0 1
36 1 6 1 1
37 2 8 2 1
38 6 7 6 2
39 2 6 2 0
40 1 6 1 1
41 1 11 1 0
42 2 12 2 2
43 3 23 3 2
44 4 1 4 0
45 3 20 3 2
46 0 6 0 2
47 2 0 2 0
48 0 7 0 1
49 1 0 1 0
50 1 10 1 0
51 3 11 3 0
52 1 13 1 1
53 0 15 0 0
54 210 99 3 14
55 3 2 3 1
56 3 3 3 1
57 1 0 1 0
58 2 3 2 0
59 0 11 0 0
60 2 9 2 0
61 1 4 1 0
62 3 0 3 0
63 1 0 1 0
64 1 0 1 0
65 0 3 0 1
66 3 4 3 0
67 1 2 1 0
68 1 1 1 0
69 8 4 8 0
70 1 16 1 1
71 4 3 4 0
72 3 16 3 1
73 193 281 1 21
74 2 6 2 0
75 1 12 1 2
76 0 0 0 0
77 3 7 3 1
78 1 0 1 0
79 202 157 1 17
80 1 1 1 0
81 2 0 2 0
82 2 5 2 0
83 0 23 0 0
84 1 4 1 1
85 1 3 1 1
86 131 62 2 8
87 1 2 1 0
88 216 228 2 23
89 2 17 2 1
90 2 2 2 0
91 118 49 4 3
92 5 2 5 0
93 2 6 2 0
94 1 3 1 1
95 0 0 0 0
96 3 8 3 0
97 0 2 0 1
