# time  created  delivered  delivered/created
125000.0000 125 61 0.4880
126000.0000 126 61 0.4841
127000.0000 127 61 0.4803
128000.0000 128 61 0.4766
129000.0000 129 61 0.4729
130000.0000 130 61 0.4692
131000.0000 131 61 0.4656
132000.0000 132 61 0.4621
133000.0000 133 61 0.4586
134000.0000 134 61 0.4552
135000.0000 135 61 0.4519
136000.0000 136 61 0.4485
137000.0000 137 61 0.4453
138000.0000 138 61 0.4420
139000.0000 139 61 0.4388
140000.0000 140 61 0.4357
141000.0000 141 61 0.4326
142000.0000 142 61 0.4296
143000.0000 143 61 0.4266
144000.0000 144 61 0.4236
145000.0000 145 61 0.4207
146000.0000 146 61 0.4178
147000.0000 147 61 0.4150
148000.0000 148 61 0.4122
149000.0000 149 61 0.4094
150000.0000 150 61 0.4067
151000.0000 151 61 0.4040
152000.0000 152 61 0.4013
153000.0000 153 61 0.3987
154000.0000 154 61 0.3961
155000.0000 155 61 0.3935
156000.0000 156 61 0.3910
157000.0000 157 61 0.3885
158000.0000 158 61 0.3861
159000.0000 159 61 0.3836
160000.0000 160 61 0.3813
161000.0000 161 61 0.3789
162000.0000 162 61 0.3765
163000.0000 163 61 0.3742
164000.0000 164 61 0.3720
165000.0000 165 61 0.3697
166000.0000 166 61 0.3675
167000.0000 167 61 0.3653
168000.0000 168 61 0.3631
169000.0000 169 61 0.3609
170000.0000 170 61 0.3588
171000.0000 171 61 0.3567
172000.0000 172 61 0.3547
173000.0000 173 61 0.3526
174000.0000 174 61 0.3506
175000.0000 175 61 0.3486
176000.0000 176 61 0.3466
177000.0000 177 61 0.3446
178000.0000 178 61 0.3427
179000.0000 179 61 0.3408
180000.0000 180 61 0.3389
181000.0000 181 61 0.3370
182000.0000 182 61 0.3352
183000.0000 183 61 0.3333
184000.0000 184 61 0.3315
185000.0000 185 61 0.3297
186000.0000 186 61 0.3280
187000.0000 187 61 0.3262
188000.0000 188 61 0.3245
188004.0000 188 62 0.3298
188009.0000 188 63 0.3351
188013.0000 188 64 0.3404
189000.0000 189 64 0.3386
190000.0000 190 64 0.3368
191000.0000 191 64 0.3351
192000.0000 192 64 0.3333
193000.0000 193 64 0.3316
194000.0000 194 64 0.3299
195000.0000 195 64 0.3282
195832.0000 195 65 0.3333
196000.0000 196 65 0.3316
197000.0000 197 65 0.3299
197961.0000 197 66 0.3350
198000.0000 198 66 0.3333
198004.0000 198 67 0.3384
199000.0000 199 67 0.3367
200000.0000 200 67 0.3350
201000.0000 201 67 0.3333
201954.0000 201 68 0.3383
201959.0000 201 69 0.3433
202000.0000 202 69 0.3416
203000.0000 203 69 0.3399
204000.0000 204 69 0.3382
205000.0000 205 69 0.3366
205429.0000 205 70 0.3415
206000.0000 206 70 0.3398
207000.0000 207 70 0.3382
208000.0000 208 70 0.3365
209000.0000 209 70 0.3349
210000.0000 210 70 0.3333
210022.0000 210 71 0.3381
211000.0000 211 71 0.3365
212000.0000 212 71 0.3349
213000.0000 213 71 0.3333
214000.0000 214 71 0.3318
215000.0000 215 71 0.3302
216000.0000 216 71 0.3287
217000.0000 217 71 0.3272
218000.0000 218 71 0.3257
219000.0000 219 71 0.3242
220000.0000 220 71 0.3227
221000.0000 221 71 0.3213
222000.0000 222 71 0.3198
223000.0000 223 71 0.3184
224000.0000 224 71 0.3170
