Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 15 4 3
1 308 465 6 40
2 10 39 10 3
3 7 14 7 0
4 9 30 9 4
5 10 31 10 4
6 5 31 5 3
7 7 24 7 1
8 4 11 4 2
9 6 9 6 3
10 5 15 5 3
11 7 21 7 4
12 12 37 12 3
13 12 33 12 2
14 12 26 12 2
15 8 19 8 6
16 461 95 4 27
17 7 57 7 7
18 5 19 5 1
19 9 31 9 4
20 6 14 6 1
21 472 182 13 52
22 9 22 9 1
23 5 10 5 1
24 12 27 12 3
25 1 10 1 2
26 10 37 10 7
27 11 37 11 4
28 11 34 11 10
29 7 34 7 3
30 2 13 2 0
31 14 22 14 3
32 474 427 6 74
33 5 39 5 4
34 9 6 0 0
35 8 34 8 3
36 0 2 0 2
37 2 2 2 2
38 0 0 0 0
39 7 0 7 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 4 0 0 0
45 0 0 0 0
46 0 0 0 0
47 0 0 0 0
48 0 0 0 0
49 0 0 0 0
50 9 5 9 0
51 7 14 7 0
