# time  created  delivered  delivered/created
1000.0000 1 0 0.0000
1677.0000 1 1 1.0000
2000.0000 2 1 0.5000
2016.0000 2 2 1.0000
3000.0000 3 2 0.6667
3004.0000 3 3 1.0000
4000.0000 4 3 0.7500
4133.0000 4 4 1.0000
5000.0000 5 4 0.8000
5013.0000 5 5 1.0000
6000.0000 6 5 0.8333
7000.0000 7 5 0.7143
7198.0000 7 6 0.8571
7995.0000 7 7 1.0000
8000.0000 8 7 0.8750
8004.0000 8 8 1.0000
9000.0000 9 8 0.8889
9004.0000 9 9 1.0000
10000.0000 10 9 0.9000
