0	CONN	0	7	up
0	CONN	0	7	down
0	CONN	0	4	up
0	CONN	1	7	up
0	CONN	1	7	down
0	CONN	1	3	up
0	CONN	1	3	down
0	CONN	1	2	up
0	CONN	2	0	up
0	CONN	2	7	up
0	CONN	3	7	up
0	CONN	3	4	up
0	CONN	4	7	up
0	CONN	4	3	up
0	CONN	5	3	up
0	CONN	5	7	up
0	CONN	7	5	up
0	CONN	7	5	down
0	CONN	7	2	up
0	CONN	8	4	up
0	CONN	8	4	down
0	CONN	8	7	up
0	CONN	8	7	down
0	CONN	8	2	up
115	CONN	0	2	up
115	CONN	0	3	up
115	CONN	1	2	down
115	CONN	1	6	up
115	CONN	2	0	down
115	CONN	2	4	up
115	CONN	2	4	down
115	CONN	2	3	up
115	CONN	5	3	down
115	CONN	5	6	up
115	CONN	7	6	up
226	CONN	0	2	down
226	CONN	0	3	down
226	CONN	1	6	down
226	CONN	1	5	up
226	CONN	3	7	down
226	CONN	7	2	down
226	CONN	7	1	up
343	CONN	0	4	down
343	CONN	1	5	down
343	CONN	3	5	up
343	CONN	3	5	down
343	CONN	4	5	up
343	CONN	4	5	down
343	CONN	5	6	down
343	CONN	5	1	up
343	CONN	5	2	up
343	CONN	7	5	up
464	CONN	0	7	up
464	CONN	0	7	down
464	CONN	1	7	up
464	CONN	2	3	down
464	CONN	2	4	up
464	CONN	2	4	down
464	CONN	2	5	up
464	CONN	2	5	down
464	CONN	2	0	up
464	CONN	2	0	down
464	CONN	5	1	down
467	CONN	5	2	down
467	CONN	7	6	down
467	CONN	7	2	up
467	CONN	7	2	down
468	CONN	0	2	up
468	CONN	0	3	up
468	CONN	1	2	up
468	CONN	1	2	down
578	CONN	5	7	down
578	CONN	5	6	up
578	CONN	5	6	down
578	CONN	7	5	down
579	CONN	0	4	up
579	CONN	2	7	down
581	CONN	4	5	up
695	CONN	0	4	down
695	CONN	1	6	up
695	CONN	2	4	up
695	CONN	2	4	down
697	CONN	4	5	down
698	CONN	3	7	up
698	CONN	3	7	down
817	CONN	7	6	up
817	CONN	7	6	down
817	CONN	7	5	up
819	CONN	0	2	down
819	CONN	0	3	down
819	CONN	0	8	up
819	CONN	0	8	down
819	CONN	1	5	up
819	CONN	1	5	down
822	CONN	3	0	up
822	CONN	3	0	down
940	CONN	5	6	up
940	CONN	5	7	up
940	CONN	7	1	down
941	CONN	2	8	up
943	CONN	4	7	down
944	CONN	3	2	up
1061	CONN	7	5	down
1063	CONN	5	6	down
1064	CONN	1	6	down
1185	CONN	0	1	up
1185	CONN	0	1	down
1185	CONN	1	5	up
1187	CONN	4	3	down
1187	CONN	4	2	up
1308	CONN	7	6	up
1308	CONN	7	1	up
1309	CONN	1	5	down
1311	CONN	4	0	up
1311	CONN	4	0	down
1312	CONN	3	4	down
1312	CONN	3	0	up
1312	CONN	3	0	down
1431	CONN	5	7	down
1431	CONN	5	6	up
1540	CONN	5	6	down
1541	CONN	0	7	up
1541	CONN	0	7	down
1541	CONN	1	6	up
1541	CONN	1	6	down
1541	CONN	7	6	down
1543	CONN	4	7	up
1543	CONN	4	7	down
1543	CONN	4	3	up
1543	CONN	4	3	down
1544	CONN	3	2	down
1544	CONN	3	7	up
1544	CONN	3	7	down
1660	CONN	7	1	down
1660	CONN	7	6	up
1660	CONN	7	6	down
1661	CONN	1	5	up
1661	CONN	1	5	down
1663	CONN	4	8	up
1663	CONN	4	0	up
1664	CONN	6	1	up
1664	CONN	6	1	down
1664	CONN	6	8	up
1664	CONN	6	3	up
1664	CONN	6	2	up
1667	CONN	4	8	down
1772	CONN	1	6	up
1772	CONN	1	6	down
1772	CONN	5	7	up
1772	CONN	5	7	down
1776	CONN	4	2	down
1776	CONN	4	6	up
1778	CONN	1	7	down
1780	CONN	4	6	down
1780	CONN	6	5	up
1780	CONN	6	5	down
1783	CONN	4	0	down
1783	CONN	4	5	up
1783	CONN	4	5	down
1783	CONN	4	8	up
1783	CONN	4	8	down
1784	CONN	5	6	up
1784	CONN	5	6	down
1784	CONN	5	1	up
1787	CONN	3	4	up
1794	CONN	6	1	up
1896	CONN	4	3	up
1904	CONN	0	7	up
1906	CONN	7	1	up
1906	CONN	7	6	up
1907	CONN	6	1	down
1913	CONN	6	5	up
2012	CONN	5	6	up
2016	CONN	7	1	down
2017	CONN	5	1	down
2017	CONN	5	6	down
2023	CONN	6	1	up
2037	CONN	0	7	down
2040	CONN	3	6	up
2131	CONN	7	5	up
2131	CONN	7	5	down
2139	CONN	4	6	up
2249	CONN	1	6	up
2249	CONN	1	6	down
2266	CONN	0	1	up
2266	CONN	0	1	down
2266	CONN	0	7	up
2266	CONN	0	7	down
2372	CONN	6	1	down
2382	CONN	4	3	down
2482	CONN	1	7	up
2488	CONN	7	5	up
2496	CONN	6	8	down
2596	CONN	5	7	up
2598	CONN	7	6	down
2606	CONN	1	7	down
2615	CONN	4	6	down
2711	CONN	5	6	up
2711	CONN	5	6	down
2721	CONN	6	5	down
2721	CONN	6	1	up
2831	CONN	1	6	up
2831	CONN	1	6	down
2833	CONN	6	8	up
2840	CONN	4	3	up
2848	CONN	0	7	up
2937	CONN	5	4	up
2939	CONN	7	4	up
2952	CONN	4	6	up
3059	CONN	7	3	up
3059	CONN	7	3	down
3067	CONN	6	5	up
3067	CONN	6	5	down
3074	CONN	0	7	down
3077	CONN	3	4	down
3077	CONN	3	5	up
3077	CONN	3	5	down
3414	CONN	5	3	up
3414	CONN	5	3	down
3417	CONN	6	5	up
3417	CONN	6	5	down
3527	CONN	1	6	up
3534	CONN	1	6	down
3536	CONN	4	5	up
3554	CONN	3	5	up
3554	CONN	3	4	up
3650	CONN	7	4	down
3892	CONN	1	6	up
3895	CONN	5	0	up
3895	CONN	5	0	down
3895	CONN	5	3	up
3897	CONN	7	3	up
3897	CONN	7	3	down
3897	CONN	7	4	up
3901	CONN	4	6	down
3903	CONN	6	1	down
3905	CONN	3	5	down
3909	CONN	0	7	up
3909	CONN	0	7	down
4014	CONN	5	3	down
4015	CONN	1	6	down
4016	CONN	7	4	down
4016	CONN	7	2	up
4016	CONN	7	2	down
4022	CONN	6	3	down
4035	CONN	3	6	down
4127	CONN	5	4	down
4129	CONN	7	5	down
4129	CONN	7	0	up
4135	CONN	6	5	up
